진료년도,시도,진료과목,환자수,명세서 청구건수,입내원일수,요양급여비용총액,보험자부담금
2019,부산,성형외과,20950 ,73802 ,109235 ,16151462030 ,10430796550 
2019,부산,마취통증의학과,25756 ,61326 ,136697 ,10286672930 ,7010884980 
2019,부산,산부인과,291979 ,1139462 ,1694176 ,191425806530 ,149983574950 
2019,부산,소아청소년과,285369 ,2180610 ,2722036 ,162651074490 ,137254635330 
2019,부산,안과,194620 ,577312 ,611428 ,82971409950 ,55274555300 
2019,부산,이비인후과,139545 ,394322 ,532046 ,61663810690 ,41394713450 
2019,부산,피부과,65766 ,193448 ,212470 ,12025150760 ,7378445450 
2019,부산,비뇨의학과,99867 ,387664 ,499877 ,66494046380 ,47867880610 
2019,부산,영상의학과,12726 ,23755 ,25238 ,2242967150 ,1542084210 
2019,부산,방사선종양학과,6596 ,83766 ,87978 ,32543746230 ,30879072080 
2019,부산,병리과,13 ,15 ,15 ,3144880 ,2007880 
2019,부산,진단검사의학과,275 ,614 ,9593 ,840643340 ,630478970 
2019,부산,재활의학과,58143 ,507006 ,1594792 ,178983375980 ,138194957500 
2019,부산,핵의학과,3310 ,12123 ,12967 ,2153054640 ,1912485390 
2019,부산,가정의학과,131501 ,371053 ,2620037 ,202432964550 ,152209962380 
2019,부산,응급의학과,306947 ,414695 ,434626 ,53727827290 ,30742675070 
2019,부산,직업환경의학과,248 ,363 ,372 ,15591990 ,5133850 
2019,부산,예방의학과,5 ,13 ,12 ,324430 ,239120 
2019,부산,구강악안면외과,75562 ,152638 ,153190 ,8726782450 ,5127156870 
2019,부산,치과보철과,10475 ,26654 ,24218 ,8424025760 ,5867628640 
2019,부산,치과교정과,1191 ,2668 ,2667 ,88492730 ,49674030 
2019,부산,소아치과,1870 ,2648 ,2647 ,142183240 ,94925720 
2019,부산,치주과,57463 ,126932 ,126436 ,5955842130 ,3533042280 
2019,부산,치과보존과,75120 ,192483 ,192095 ,11282577250 ,6728874390 
2019,부산,구강내과,1643 ,3705 ,3702 ,194704940 ,70382950 
2019,부산,영상치의학과,36 ,36 ,36 ,3244280 ,1948380 
2019,부산,예방치과,18 ,19 ,19 ,1368330 ,1074430 
2019,부산,치과,15857 ,30398 ,30159 ,1779832500 ,1124736240 
2019,부산,통합치의학과,1 ,1 ,1 ,21160 ,12760 
2019,부산,한방내과,34344 ,221973 ,125734 ,19733124390 ,15634660010 
2019,부산,한방부인과,345 ,1426 ,211 ,196972750 ,159561410 
2019,부산,한방소아과,573 ,2893 ,3297 ,130173910 ,99668010 
2019,부산,한방안·이비인후·피부과,2211 ,14504 ,23700 ,1315461180 ,939329330 
2019,부산,한방신경정신과,143 ,1331 ,1887 ,99937800 ,74116720 
2019,부산,침구과,10689 ,65576 ,86992 ,4610181120 ,3315216940 
2019,부산,한방재활의학과,8656 ,45805 ,75528 ,5341134780 ,3490664310 
2019,부산,사상체질과,867 ,8147 ,10483 ,457553390 ,323475860 
2019,부산,한방응급,1 ,1 ,1 ,0 ,0 
2019,인천,일반의,50 ,58 ,169 ,13692470 ,10001360 
2019,인천,내과,563446 ,2631825 ,3756853 ,657679620820 ,519211714440 
2019,인천,신경과,102363 ,341651 ,637022 ,84851037540 ,58543902320 
2019,인천,정신건강의학과,48307 ,286266 ,857632 ,69910728950 ,51625758710 
2019,인천,외과,134401 ,453249 ,949821 ,194502814670 ,153981844600 
2019,인천,정형외과,399403 ,1644943 ,2440367 ,291800180140 ,207984403160 
2019,인천,신경외과,175908 ,561586 ,1029246 ,167611419060 ,127659330470 
2019,인천,흉부외과,14556 ,36986 ,94387 ,34225714510 ,28404897520 
2019,인천,성형외과,13268 ,46220 ,56297 ,7348864100 ,4521784630 
2019,인천,마취통증의학과,23908 ,65854 ,79267 ,5739408870 ,3385689460 
2019,인천,산부인과,176336 ,664935 ,828423 ,98284165230 ,77068534640 
2019,인천,소아청소년과,109710 ,636779 ,792970 ,69438271990 ,56635325330 
2019,인천,안과,130591 ,337173 ,344614 ,48488210800 ,32129619420 
2019,인천,이비인후과,124040 ,354516 ,390708 ,41525587210 ,26588628450 
2019,인천,피부과,43296 ,138731 ,145998 ,9527000460 ,5580829570 
2019,인천,비뇨의학과,76390 ,263549 ,302973 ,44212589710 ,31086180930 
2019,인천,영상의학과,1554 ,2249 ,2230 ,365139910 ,188585790 
2019,인천,방사선종양학과,4086 ,59720 ,59700 ,21592674060 ,20471528320 
2019,인천,병리과,1 ,8 ,150 ,11988030 ,8791780 
2019,인천,진단검사의학과,7 ,31 ,825 ,70682820 ,52516470 
2019,인천,재활의학과,31691 ,246626 ,895847 ,113046196870 ,87796624620 
2019,인천,핵의학과,322 ,1226 ,1234 ,247939640 ,232612840 
2019,인천,가정의학과,70882 ,213677 ,643412 ,56897550210 ,44299568820 
2019,인천,응급의학과,267762 ,351631 ,393174 ,77023676940 ,48576288590 
2019,인천,직업환경의학과,286 ,485 ,482 ,17766710 ,5531560 
2019,인천,예방의학과,70 ,71 ,71 ,8734570 ,5244970 
2019,인천,구강악안면외과,35949 ,70297 ,71519 ,4631622070 ,2651185160 
2019,인천,치과보철과,4533 ,10051 ,9287 ,2028642310 ,1368288020 
2019,인천,치과교정과,193 ,235 ,234 ,10400680 ,4170380 
2019,인천,소아치과,1673 ,2398 ,2397 ,90401420 ,57753210 
2019,인천,치주과,22276 ,32785 ,32747 ,1755478420 ,1032546660 
2019,인천,치과보존과,39339 ,88488 ,88119 ,5328974040 ,3076910860 
2019,인천,구강내과,20 ,27 ,26 ,2424710 ,1588010 
2019,인천,영상치의학과,6 ,6 ,6 ,366350 ,230950 
2019,인천,구강병리과,2 ,2 ,2 ,57170 ,38970 
2019,인천,예방치과,3 ,3 ,2 ,1247450 ,861750 
2019,인천,치과,2446 ,2781 ,2726 ,127722350 ,78754860 
2019,인천,한방내과,12180 ,49486 ,65800 ,6716863400 ,5130757280 
2019,인천,한방부인과,1429 ,4434 ,7697 ,457233460 ,322447790 
2019,인천,한방소아과,67 ,192 ,457 ,51678140 ,37201940 
2019,인천,한방안·이비인후·피부과,209 ,1008 ,2054 ,129279110 ,88385160 
2019,인천,한방신경정신과,1455 ,7766 ,11476 ,556174030 ,397671740 
2019,인천,침구과,21913 ,64429 ,153590 ,12242461270 ,9046525420 
2019,인천,한방재활의학과,11436 ,58042 ,71114 ,4775960170 ,3153526260 
2019,인천,사상체질과,49 ,162 ,63 ,13587160 ,10416200 
2019,인천,한방응급,1 ,1 ,1 ,33440 ,20140 
2019,대구,일반의,12 ,12 ,92 ,8293760 ,6152910 
2019,대구,내과,610158 ,2850688 ,4193415 ,736107382100 ,587402283490 
2019,대구,신경과,136860 ,500703 ,912732 ,114492701350 ,78866755330 
2019,대구,정신건강의학과,48752 ,334647 ,816644 ,63252045170 ,47050267550 
2019,대구,외과,210158 ,655811 ,1366676 ,286557720770 ,228594117330 
2019,대구,정형외과,385482 ,1514974 ,2298494 ,289058290190 ,205752805210 
2019,대구,신경외과,172255 ,558180 ,1029391 ,167681868480 ,128835923770 
2019,대구,흉부외과,14863 ,44577 ,104362 ,51470842960 ,44340760470 
2019,대구,성형외과,31007 ,92286 ,133549 ,22246250300 ,14540240360 
2019,대구,마취통증의학과,30653 ,87571 ,120444 ,8676732310 ,5292953440 
2019,대구,산부인과,184415 ,651884 ,820121 ,120184463380 ,96190429330 
2019,대구,소아청소년과,197093 ,1288535 ,1583259 ,144221311280 ,122927145930 
2019,대구,안과,175050 ,498578 ,519071 ,72473901660 ,46831468050 
2019,대구,이비인후과,75182 ,201024 ,230716 ,31369550900 ,20551900250 
2019,대구,피부과,46941 ,148720 ,150860 ,9085145930 ,5321095180 
2019,대구,비뇨의학과,63992 ,249374 ,309208 ,48187584780 ,35551257200 
2019,대구,영상의학과,6512 ,7874 ,8373 ,643953310 ,429368090 
2019,대구,방사선종양학과,6619 ,96535 ,96474 ,37116725230 ,35238906170 
2019,대구,병리과,51 ,108 ,685 ,47979090 ,37929250 
2019,대구,진단검사의학과,59 ,73 ,73 ,10633520 ,1044350 
2019,대구,결핵과,1 ,1 ,1 ,15290 ,13790 
2019,대구,재활의학과,37364 ,269552 ,965191 ,125632223510 ,97329979720 
2019,대구,핵의학과,13327 ,44881 ,45646 ,3656871080 ,2470052430 
2019,대구,가정의학과,51756 ,147011 ,1080142 ,87155693990 ,65940136100 
2019,대구,응급의학과,175048 ,226391 ,253464 ,45678573650 ,27860610120 
2019,대구,직업환경의학과,344 ,612 ,610 ,16250270 ,7892870 
2019,대구,구강악안면외과,40407 ,81867 ,81398 ,4310879780 ,2636955950 
2019,대구,치과보철과,9316 ,19270 ,16418 ,7152992770 ,4996629350 
2019,대구,치과교정과,413 ,480 ,479 ,73411610 ,44350410 
2019,대구,소아치과,9828 ,25773 ,25769 ,1249818300 ,813335590 
2019,대구,치주과,45071 ,79483 ,78746 ,4571992180 ,2820658040 
2019,대구,치과보존과,66342 ,164359 ,169213 ,11427518010 ,6939509140 
2019,대구,구강내과,5291 ,16049 ,16049 ,876742280 ,529478980 
2019,대구,영상치의학과,695 ,3207 ,3204 ,139825530 ,85861630 
2019,대구,구강병리과,2 ,2 ,2 ,16200 ,9800 
2019,대구,예방치과,14269 ,23440 ,23352 ,1085598700 ,656563140 
2019,대구,치과,9700 ,16772 ,16572 ,740662860 ,460292000 
2019,대구,통합치의학과,2 ,2 ,2 ,62710 ,37710 
2019,대구,한방내과,11271 ,68342 ,43726 ,4969302130 ,3871856440 
2019,대구,한방부인과,405 ,1809 ,1948 ,75532330 ,52628970 
2019,대구,한방소아과,400 ,917 ,917 ,24703070 ,15723670 
2019,대구,한방안·이비인후·피부과,692 ,5077 ,5514 ,212673280 ,133776170 
2019,대구,한방신경정신과,197 ,1020 ,1181 ,84340050 ,50789340 
2019,대구,침구과,5083 ,26752 ,27260 ,1875334580 ,1340917040 
2019,대구,한방재활의학과,5824 ,35963 ,51354 ,3813144800 ,2524339200 
2019,대구,한방응급,265 ,315 ,315 ,11110330 ,6767530 
2019,광주,일반의,324 ,734 ,11297 ,731808420 ,567572350 
2019,광주,내과,536494 ,2219453 ,3764911 ,501206480400 ,378641912590 
2019,광주,신경과,100200 ,316769 ,487985 ,69458358430 ,47021095530 
2019,광주,정신건강의학과,31657 ,207945 ,572032 ,51106475140 ,37838363320 
2019,광주,외과,137830 ,358867 ,1173173 ,149527934250 ,112889023560 
2019,광주,정형외과,363134 ,1218730 ,2118712 ,239637927920 ,169219072110 
2019,광주,신경외과,142555 ,378231 ,664218 ,99608184530 ,73943532130 
2019,광주,흉부외과,14457 ,34552 ,102586 ,24950885850 ,20068525390 
2019,광주,성형외과,4994 ,16156 ,37740 ,6596432840 ,4489455120 
2019,광주,마취통증의학과,20977 ,51472 ,143270 ,10059265630 ,7143142140 
2019,광주,산부인과,169471 ,563185 ,823499 ,91805809020 ,72203102090 
2019,광주,소아청소년과,204222 ,1740228 ,2073262 ,118587988110 ,98364930280 
2019,광주,안과,127507 ,308765 ,332543 ,37252818010 ,25314249670 
2019,광주,이비인후과,97730 ,253147 ,282298 ,23638680320 ,14836578790 
2019,광주,피부과,33158 ,98700 ,102394 ,7182772630 ,4160141730 
2019,광주,비뇨의학과,54674 ,169712 ,214288 ,28289513360 ,19300295340 
2019,광주,영상의학과,3614 ,3971 ,3886 ,803864370 ,635362250 
2019,광주,방사선종양학과,307 ,5032 ,5021 ,1519009530 ,1439965740 
2019,광주,결핵과,1414 ,5119 ,9079 ,1650943880 ,1506374150 
2019,광주,재활의학과,25651 ,187780 ,704016 ,77249213960 ,59143690570 
2019,광주,핵의학과,1212 ,2417 ,2538 ,470141270 ,385916870 
2019,광주,가정의학과,109404 ,251987 ,1168307 ,95185620170 ,72350901110 
2019,광주,응급의학과,214559 ,292832 ,324906 ,50135886450 ,31263688570 
2019,광주,직업환경의학과,1398 ,7881 ,188850 ,13587608500 ,10136207640 
2019,광주,예방의학과,110 ,309 ,6886 ,533120390 ,403477710 
2019,광주,구강악안면외과,35745 ,76757 ,79931 ,6105002700 ,3885686910 
2019,광주,치과보철과,6690 ,13508 ,13065 ,3641102500 ,2530340700 
2019,광주,치과교정과,1064 ,1248 ,1248 ,62361240 ,37759240 
2019,광주,소아치과,11816 ,28368 ,28368 ,1813216690 ,1200750420 
2019,광주,치주과,41229 ,78225 ,77964 ,4325072930 ,2627331520 
2019,광주,치과보존과,37422 ,80661 ,83034 ,5652667090 ,3630451820 
2019,광주,구강내과,8487 ,22997 ,22983 ,1353637140 ,836266760 
2019,광주,영상치의학과,2 ,2 ,2 ,153910 ,92410 
2019,광주,구강병리과,1 ,1 ,1 ,553330 ,387430 
2019,광주,예방치과,528 ,947 ,784 ,230298240 ,158923340 
2019,광주,치과,864 ,928 ,919 ,46839600 ,28582140 
2019,광주,통합치의학과,4 ,5 ,5 ,192290 ,156190 
2019,광주,한방내과,28888 ,107027 ,195245 ,18440840900 ,13729211860 
2019,광주,한방부인과,1974 ,6100 ,12607 ,936724060 ,686816260 
2019,광주,한방안·이비인후·피부과,1470 ,9348 ,14924 ,851047920 ,592278490 
2019,광주,한방신경정신과,888 ,3553 ,4732 ,280413270 ,198303870 
2019,광주,침구과,100941 ,322390 ,1019814 ,78200192940 ,57133941800 
2019,광주,한방재활의학과,26262 ,98137 ,202005 ,14546457410 ,10061005950 
2019,광주,사상체질과,1377 ,3267 ,12149 ,781260080 ,577930370 
2019,광주,한방응급,1 ,1 ,30 ,1153980 ,1040880 
2019,대전,일반의,182 ,789 ,9507 ,675568740 ,489237270 
2019,대전,내과,335009 ,1665474 ,2626493 ,448459424530 ,356629224230 
2019,대전,신경과,91547 ,322242 ,634559 ,84250665110 ,59810711290 
2019,대전,정신건강의학과,27405 ,160034 ,338002 ,26237691410 ,19208411930 
2019,대전,외과,71343 ,243168 ,607440 ,123623844100 ,97543744870 
2019,대전,정형외과,229151 ,831438 ,1408124 ,193219135880 ,138496446050 
2019,대전,신경외과,83960 ,256468 ,526613 ,86848853810 ,67463624380 
2019,대전,흉부외과,12279 ,33958 ,73702 ,25106704860 ,20983895180 
2019,대전,성형외과,15001 ,55167 ,82899 ,9430375390 ,6230650350 
2019,대전,마취통증의학과,12358 ,49367 ,74008 ,5684175730 ,3849105420 
2019,대전,산부인과,105206 ,389884 ,599799 ,75113680130 ,59642546950 
2019,대전,소아청소년과,143816 ,1148086 ,1327684 ,91111366480 ,77567473610 
2019,대전,안과,96282 ,249926 ,256590 ,35158595510 ,23321957150 
2019,대전,이비인후과,64788 ,178335 ,228721 ,28615019210 ,19000354840 
2019,대전,피부과,46573 ,155293 ,157404 ,7778816040 ,4415754300 
2019,대전,비뇨의학과,49369 ,181240 ,205655 ,26682552670 ,18664008580 
2019,대전,영상의학과,1235 ,2509 ,6401 ,753426540 ,557242640 
2019,대전,방사선종양학과,3791 ,47036 ,50823 ,17843693020 ,16912733450 
2019,대전,진단검사의학과,365 ,754 ,8452 ,644546540 ,480045600 
2019,대전,결핵과,12 ,71 ,1912 ,180394930 ,143543600 
2019,대전,재활의학과,40961 ,328860 ,686836 ,71197868560 ,54499607700 
2019,대전,핵의학과,647 ,3435 ,3522 ,372202010 ,328391040 
2019,대전,가정의학과,73810 ,191702 ,597977 ,44963187520 ,33200692680 
2019,대전,응급의학과,135872 ,175127 ,208070 ,39485749170 ,24771360780 
2019,대전,직업환경의학과,241 ,381 ,758 ,51663110 ,35286000 
2019,대전,구강악안면외과,18305 ,34572 ,35063 ,2579382570 ,1636411230 
2019,대전,치과보철과,5737 ,10687 ,10118 ,1725175410 ,1174779220 
2019,대전,치과교정과,98 ,103 ,103 ,3685870 ,2297690 
2019,대전,소아치과,5341 ,9764 ,9757 ,497634340 ,325373930 
2019,대전,치주과,23461 ,36644 ,36579 ,2322111480 ,1377851810 
2019,대전,치과보존과,72693 ,164706 ,164745 ,11264544000 ,7080661930 
2019,대전,구강내과,3530 ,10169 ,10164 ,516277380 ,310945300 
2019,대전,예방치과,10 ,10 ,10 ,381610 ,288510 
2019,대전,치과,254 ,3937 ,5849 ,860664600 ,757753270 
2019,대전,한방내과,9805 ,59353 ,50257 ,5792290730 ,4485310340 
2019,대전,한방부인과,725 ,3961 ,5037 ,245901810 ,163849410 
2019,대전,한방소아과,510 ,2312 ,2454 ,72882150 ,46896270 
2019,대전,한방안·이비인후·피부과,1131 ,8727 ,10332 ,487122480 ,324780810 
2019,대전,한방신경정신과,395 ,2571 ,3265 ,152238090 ,104216940 
2019,대전,침구과,11445 ,54555 ,63481 ,3818593210 ,2697692390 
2019,대전,한방재활의학과,12782 ,55906 ,78709 ,4898359380 ,3050445910 
2019,울산,일반의,827 ,1518 ,1694 ,159291250 ,112827270 
2019,울산,내과,291513 ,1297315 ,2077854 ,286168450770 ,228410408670 
2019,울산,신경과,43597 ,146016 ,248982 ,29222746020 ,20230645800 
2019,울산,정신건강의학과,20899 ,157131 ,327238 ,25226993250 ,18911251530 
2019,울산,외과,80437 ,228602 ,574511 ,92627127320 ,71361052510 
2019,울산,정형외과,166115 ,738429 ,1067039 ,111922818570 ,78638516210 
2019,울산,신경외과,69525 ,227210 ,432196 ,62312496560 ,47724743380 
2019,울산,흉부외과,6378 ,15336 ,29460 ,15299582340 ,12969143180 
2019,울산,성형외과,5964 ,21286 ,63474 ,5768893770 ,4148039920 
2019,울산,마취통증의학과,5937 ,23928 ,51534 ,3763154900 ,2631294820 
2019,울산,산부인과,81882 ,318032 ,478966 ,52819834760 ,42214760550 
2019,울산,소아청소년과,96539 ,706476 ,848828 ,47941332420 ,40997793700 
2019,울산,안과,36627 ,120422 ,131403 ,12065023730 ,8143223650 
2019,울산,이비인후과,89095 ,235547 ,266042 ,19701133290 ,13282632560 
2019,울산,피부과,16524 ,38036 ,38955 ,1641786680 ,1043282570 
2019,울산,비뇨의학과,26779 ,81219 ,124382 ,15887120600 ,11838282430 
2019,울산,영상의학과,944 ,1090 ,3885 ,1069471750 ,801966980 
2019,울산,방사선종양학과,1527 ,20614 ,20614 ,6866751380 ,6515367280 
2019,울산,진단검사의학과,189 ,786 ,17012 ,1655934690 ,1336209810 
2019,울산,재활의학과,8840 ,81936 ,282486 ,37932101090 ,29642541060 
2019,울산,핵의학과,247 ,802 ,802 ,194539080 ,184563360 
2019,울산,가정의학과,37126 ,93104 ,494415 ,34627984300 ,25523456810 
2019,울산,응급의학과,113979 ,148255 ,154031 ,20524148940 ,12868419190 
2019,울산,직업환경의학과,19 ,50 ,49 ,1539390 ,800550 
2019,울산,예방의학과,3834 ,7994 ,19650 ,1179477020 ,865036900 
2019,울산,구강악안면외과,12823 ,24715 ,24488 ,1277383980 ,794580070 
2019,울산,치과보철과,2536 ,4484 ,4111 ,1229509490 ,854125320 
2019,울산,치과교정과,742 ,808 ,808 ,25907400 ,15810000 
2019,울산,소아치과,1152 ,1653 ,1653 ,80464390 ,52792890 
2019,울산,치주과,10818 ,17128 ,16903 ,854815390 ,524272620 
2019,울산,치과보존과,22536 ,56242 ,58488 ,4295996550 ,2763457870 
2019,울산,구강내과,697 ,2763 ,2763 ,111186340 ,67087740 
2019,울산,예방치과,205 ,220 ,219 ,5497810 ,3429310 
2019,울산,치과,14210 ,31887 ,40764 ,2290005550 ,1479528710 
2019,울산,한방내과,7508 ,48785 ,17062 ,4372069150 ,3479036240 
2019,울산,한방부인과,1 ,1 ,0 ,97740 ,78200 
2019,울산,침구과,733 ,4433 ,353 ,388662360 ,317681540 
2019,울산,한방재활의학과,6894 ,28032 ,45837 ,2938985030 ,1948205100 
2019,울산,한방,64 ,127 ,3519 ,249469840 ,183017530 
2019,경기,일반의,1857 ,4406 ,31587 ,3766095160 ,3013109090 
2019,경기,내과,2448359 ,11090733 ,16352510 ,2493344084810 ,1962734619180 
2019,경기,신경과,475513 ,1571088 ,2916231 ,372286594660 ,259658024200 
2019,경기,정신건강의학과,186930 ,1090358 ,3153966 ,275383567720 ,205906996100 
2019,경기,외과,590949 ,1833821 ,4089074 ,782522293430 ,619622397390 
2019,경기,정형외과,1710413 ,6343233 ,8755155 ,950399549290 ,672671384920 
2019,경기,신경외과,682299 ,2140962 ,3526543 ,532662083990 ,408913633620 
2019,경기,흉부외과,76101 ,226072 ,471188 ,176454410500 ,147360501670 
2019,경기,성형외과,88113 ,265366 ,374645 ,56401371760 ,37010928060 
2019,경기,마취통증의학과,86213 ,263725 ,360760 ,28007816620 ,18204697810 
2019,경기,산부인과,662034 ,2526810 ,3247978 ,442836690950 ,352446328030 
2019,경기,소아청소년과,617033 ,3441679 ,4207329 ,341991080780 ,287168555580 
2019,경기,안과,373572 ,1020790 ,1035708 ,131971861670 ,83944673840 
2019,경기,이비인후과,365980 ,945276 ,1084942 ,134463699040 ,89188280340 
2019,경기,피부과,209799 ,657179 ,664830 ,39454798800 ,23320488360 
2019,경기,비뇨의학과,299057 ,971181 ,1161651 ,157339513760 ,112550060410 
2019,경기,영상의학과,30885 ,48210 ,59825 ,7033678500 ,4862190300 
2019,경기,방사선종양학과,23987 ,269405 ,270301 ,108228352680 ,102640146270 
2019,경기,병리과,168 ,773 ,13440 ,1080905590 ,820475230 
2019,경기,진단검사의학과,1299 ,1862 ,3400 ,617733000 ,370836040 
2019,경기,결핵과,166 ,815 ,15593 ,1122049710 ,818137950 
2019,경기,재활의학과,159532 ,1106580 ,4229733 ,481199438680 ,372818356640 
2019,경기,핵의학과,2646 ,9241 ,23257 ,4504665900 ,3827893770 
2019,경기,가정의학과,341354 ,978447 ,3462824 ,273781725830 ,207433813550 
2019,경기,응급의학과,1152500 ,1510530 ,1600843 ,259797417800 ,163419080440 
2019,경기,직업환경의학과,721 ,1437 ,2083 ,85923080 ,52493520 
2019,경기,예방의학과,307 ,566 ,8511 ,644641200 ,475141580 
2019,경기,약국,5 ,5 ,5 ,316120 ,189920 
2019,경기,구강악안면외과,119952 ,276862 ,279623 ,19194627570 ,11116269850 
2019,경기,치과보철과,30175 ,61943 ,59335 ,8574933120 ,5774701360 
2019,경기,치과교정과,2706 ,6059 ,6056 ,339005040 ,122649480 
2019,경기,소아치과,16764 ,36173 ,36281 ,2248576490 ,1380874070 
2019,경기,치주과,85182 ,149013 ,148389 ,7808458890 ,4545828450 
2019,경기,치과보존과,166922 ,388942 ,389104 ,22744894920 ,13511831730 
2019,경기,구강내과,3743 ,7479 ,7472 ,305815740 ,183965090 
2019,경기,영상치의학과,1193 ,2817 ,2806 ,88994840 ,53758540 
2019,경기,구강병리과,2 ,2 ,2 ,99820 ,54920 
2019,경기,예방치과,1263 ,1292 ,1280 ,77200310 ,48922210 
2019,경기,치과,4136 ,4988 ,4889 ,276487540 ,171807480 
2019,경기,통합치의학과,2065 ,4533 ,4446 ,289764380 ,175126920 
2019,경기,한방내과,58558 ,266037 ,208599 ,24147272760 ,18434064510 
2019,경기,한방부인과,3855 ,14166 ,16792 ,825280720 ,539388730 
2019,경기,한방소아과,1377 ,3755 ,3876 ,82627910 ,53518990 
2019,경기,한방안·이비인후·피부과,381 ,1620 ,1311 ,80674400 ,57450170 
2019,경기,한방신경정신과,3181 ,14327 ,18735 ,1081485340 ,715037410 
2019,경기,침구과,60716 ,246559 ,363686 ,26550342090 ,19415283080 
2019,경기,한방재활의학과,45495 ,217593 ,280788 ,18427104780 ,11888250440 
2019,경기,사상체질과,1586 ,8063 ,9805 ,427136260 ,294471080 
